,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
827,5962.0,3473.0,11106.0,6868.0,0.588,-37.70191921,-10.3580171,210812.48,9730.56,Carira - SE
828,5113.0,2391.0,8288.0,4874.0,0.596,-40.47384481,-3.95161188,119397.13,6400.96,Cariré - CE
829,7078.0,3957.0,14020.0,8053.0,0.578,-39.28437203,-7.041528,177041.67,6587.35,Caririaçu - CE
830,5533.0,2545.0,8296.0,4994.0,0.597,-39.49768868,-6.531127938,129693.01,6896.0,Cariús - CE
831,3409.0,1471.0,4555.0,2860.0,0.665,-55.82161478,-9.966665793,159101.33,15509.98,Carlinda - MT
832,4420.0,3062.0,9306.0,5899.0,0.713,-49.71872353,-23.42772393,277820.63,19314.56,Carlópolis - PR
833,8446.0,6779.0,19910.0,14382.0,0.8,-51.50381763,-29.29829681,2007605.2,72125.21,Carlos Barbosa - RS
834,6243.0,4119.0,12898.0,8122.0,0.648,-40.7673998,-17.70333104,356409.07,17948.79,Carlos Chagas - MG
835,499.0,139.0,377.0,251.0,0.74,-51.91757623,-27.71489208,36727.43,23543.23,Carlos Gomes - RS
836,690.0,410.0,1303.0,804.0,0.65,-43.1458403,-19.08708639,25693.31,9825.36,Carmésia - MG
837,5745.0,4475.0,15113.0,9794.0,0.696,-42.60971764,-21.92931178,466.86,25480.86,Carmo - RJ
838,666.0,530.0,1821.0,1103.0,0.64,-48.39595993,-7.031478778,34944.77,13806.71,Carmolândia - TO
839,3792.0,3003.0,10708.0,6819.0,0.643,-36.99081619,-10.64681858,348328.96,21836.07,Carmópolis - SE
840,5388.0,2316.0,6476.0,3919.0,0.583,-37.7933989,-7.803058219,141036.55,7277.43,Carnaíba - PE
841,4575.0,2276.0,7952.0,4735.0,0.593,-40.93563158,-4.163988562,108079.06,6158.7,Carnaubal - CE
842,3252.0,2425.0,6936.0,4526.0,0.741,-50.69142749,-19.69732632,305619.48,30470.54,Carneirinho - MG
843,2081.0,1230.0,4580.0,2516.0,0.526,-37.37475042,-9.480679721,52.75,5819.47,Carneiros - AL
844,2099.0,932.0,3237.0,1948.0,0.639,-59.69481007,0.872674507,151587.32,16245.56,Caroebe - RR
845,6293.0,4412.0,16176.0,9554.0,0.634,-47.4700918,-7.330783005,242285.6,10165.97,Carolina - MA
846,21436.0,20696.0,70398.0,46102.0,0.68,-35.25806061,-7.846886716,1270916.35,15520.94,Carpina - PE
847,1219.0,801.0,2581.0,1593.0,0.725,-44.64360902,-21.49162562,73.96,18025.71,Carrancas - MG
848,593.0,413.0,1709.0,1078.0,0.603,-38.34421673,-7.039654241,23438.91,8895.22,Carrapateira - PB
849,938.0,490.0,1967.0,1092.0,0.594,-48.03063343,-5.322661355,34.59,8606.1,Carrasco Bonito - TO
850,96393.0,85887.0,276461.0,182034.0,0.677,-35.96707336,-8.285898,6288.21,17880.19,Caruaru - PE
