,T_min,Freq,RelCost,Dist,CITY_STATE_A,CITY_STATE_B
10224,810,6.0,0.155024691358025,422.30194866299604,Maringá - PR,Concórdia - SC
10225,3225,14.0,0.155038759689922,2231.9267314822227,Porto Alegre - RS,Matupá - MT
10226,1770,3.0,0.155045197740113,1072.1750862548956,Caicó - RN,Barreiras - BA
10227,443,2.0,0.155056433408578,288.5697228030199,Passos - MG,Pederneiras - SP
10228,235,14.0,0.155063829787234,119.53579905715715,Adamantina - SP,Três Lagoas - MS
10229,265,2.0,0.155094339622642,128.00682955581522,Barros Cassal - RS,Montenegro - RS
10230,100,14.0,0.1551,81.37831918530007,América Dourada - BA,Central - BA
10231,100,9.0,0.1551,59.792189718818065,América Dourada - BA,Ibititá - BA
10232,1880,1.0,0.155106382978723,1316.224360253135,Juazeiro - BA,Araguari - MG
10233,1550,27.0,0.155116129032258,1212.4046200225812,Frederico Westphalen - RS,Rondonópolis - MT
10234,170,0.25,0.155117647058824,52.52478125299215,Indaial - SC,Nova Trento - SC
10235,80,387.0,0.155125,79.57065317756303,Jequié - BA,Poções - BA
10236,160,47.0,0.155125,47.61298729291223,Blumenau - SC,Canelinha - SC
10237,780,49.0,0.155128205128205,536.3427756309726,Ibotirama - BA,Ilhéus - BA
10238,195,38.0,0.155128205128205,121.99178936802973,Iepê - SP,Maringá - PR
10239,840,25.0,0.155130952380952,689.6463939650578,Oeiras - PI,Luís Eduardo Magalhães - BA
10240,2220,3.0,0.155135135135135,1579.5909355007473,Crateús - CE,Goiânia - GO
10241,685,35.0,0.155138686131387,570.0694693909198,Itapetininga - SP,Cascavel - PR
10242,165,13.0,0.155151515151515,82.07712374065298,Januária - MG,Miravânia - MG
10243,165,6.0,0.155151515151515,60.0559504868533,São Martinho - RS,Vista Alegre - RS
10244,620,10.0,0.155161290322581,358.44803910911423,Nova Hartz - RS,Palmitinho - RS
10245,945,7.0,0.155164021164021,674.2507437592353,Santa Luzia - MA,Marcolândia - PI
10246,120,29.0,0.155166666666667,85.26697248328166,Chapecó - SC,Rondinha - RS
10247,1155,6.0,0.155168831168831,685.994431139687,Terra Roxa - PR,São Leopoldo - RS
10248,145,12.0,0.155172413793103,53.90875414554343,Ji-Paraná - RO,Urupá - RO
10249,290,14.0,0.155172413793103,247.17480213323532,Augustinópolis - TO,Nova Olinda - TO
10250,290,7.0,0.155172413793103,221.17496078993742,Arari - MA,Caxias - MA
10251,290,7.0,0.155172413793103,157.459945402682,Brejo - MA,Timon - MA
10252,290,6.0,0.155172413793103,212.91404864890507,Grajaú - MA,Jatobá - MA
10253,1440,9.0,0.155173611111111,1019.6850133546267,Patos - PB,Barreiras - BA
10254,2210,4.0,0.155180995475113,1629.5317684571928,Barracão - PR,Brasnorte - MT
10255,980,7.0,0.155183673469388,786.3334624773389,Baixa Grande - BA,Governador Valadares - MG
10256,270,56.0,0.155185185185185,107.57806697560012,Londrina - PR,Nova Esperança - PR
10257,260,12.0,0.155192307692308,182.50605584149747,Alpestre - RS,Soledade - RS
10258,1590,10.0,0.155194968553459,1185.5692866173786,Dom Basílio - BA,Guarulhos - SP
10259,1920,8.0,0.155197916666667,1767.2649109998345,Ariquemes - RO,Brasília - DF
10260,173,2.0,0.155202312138728,94.19075761138215,Cravolândia - BA,Nazaré - BA
10261,1440,6.0,0.155208333333333,918.443269170133,Bacabal - MA,Santa Luzia - PB
10262,1740,14.0,0.155218390804598,1204.9580209978926,Castanhal - PA,Barro - CE
10263,555,2.0,0.155225225225225,311.4208599592287,Icó - CE,Irauçuba - CE
10264,220,6.0,0.155227272727273,60.9410810696108,São Martinho - RS,Seberi - RS
10265,960,19.0,0.155229166666667,641.8307703292223,Joaçaba - SC,Dourados - MS
10266,105,12.0,0.155238095238095,50.502154778601636,São Jorge - RS,Veranópolis - RS
10267,423,14.0,0.155248226950355,238.8082893891374,Votuporanga - SP,Caçu - GO
10268,605,14.0,0.155256198347107,365.6489857558603,Penedo - AL,Salvador - BA
10269,1860,2.0,0.155258064516129,1408.4520944617045,Ji-Paraná - RO,Gurupi - TO
10270,3045,13.0,0.155261083743842,1589.4722095271043,Seabra - BA,Alta Floresta - MT
10271,760,15.0,0.155263157894737,642.8439719479003,Castanhal - PA,Caxias - MA
10272,739,3.0,0.155263870094723,444.7766129359457,Pesqueira - PE,Serrinha - BA
10273,730,7.0,0.15527397260274,507.313871108817,Lagoa Grande - PE,Maceió - AL
10274,360,8.0,0.155277777777778,79.72866257738053,Cairu - BA,Salvador - BA
10275,180,24.0,0.155277777777778,100.29822565563951,Crissiumal - RS,Ijuí - RS
10276,2310,28.0,0.155294372294372,1597.683226768118,Rio Branco - AC,Rondonópolis - MT
10277,315,12.0,0.155301587301587,166.24483181361228,Barracão - PR,Palmas - PR
10278,1320,7.0,0.15530303030303,944.2753588479127,Luís Correia - PI,Recife - PE
10279,1992,20.0,0.155306224899598,1513.3938509013656,Jacobina - BA,São Paulo - SP
10280,1005,20.0,0.155313432835821,906.5482783513324,Porto Nacional - TO,Itaberaba - BA
10281,1500,21.0,0.155333333333333,1338.0078284891963,Ananindeua - PA,Porangatu - GO
10282,75,157.0,0.155333333333333,59.70861142813058,Barbalha - CE,Barro - CE
10283,75,61.0,0.155333333333333,43.73512532325967,Dona Francisca - RS,Santa Maria - RS
10284,450,1.0,0.155333333333333,163.33458415883362,Entre-Ijuís - RS,Iraí - RS
10285,75,62.0,0.155333333333333,33.895601755181886,Fazenda Vilanova - RS,Roca Sales - RS
10286,1921,11.0,0.155335762623634,1375.4755220291556,Novo Oriente - CE,Brasília - DF
10287,655,169.0,0.155343511450382,596.7852936850089,Porto Velho - RO,Vilhena - RO
10288,157,25.0,0.155350318471338,147.71198134596784,Picos - PI,Araripe - CE
10289,140,42.0,0.155357142857143,52.638159341728546,Brazópolis - MG,Pindamonhangaba - SP
10290,250,21.0,0.15536,93.80650660031252,Londrina - PR,Santo Inácio - PR
10291,505,28.0,0.155366336633663,279.52702508821426,Maringá - PR,Juti - MS
10292,2340,7.0,0.155367521367521,1868.08409570351,Rio Maria - PA,Campo Mourão - PR
10293,2960,7.0,0.155368243243243,1966.3757381754301,Serra Branca - PB,Taubaté - SP
10294,2130,3.0,0.15537558685446,1254.0801934686974,Santa Cruz - RN,Luís Eduardo Magalhães - BA
10295,225,56.0,0.155377777777778,95.79055604562629,Alto Paraná - PR,Arapongas - PR
10296,130,37.0,0.155384615384615,58.29498121876481,Erechim - RS,Nonoai - RS
10297,3210,14.0,0.155386292834891,1773.9103311117349,Porto Alegre - RS,Nobres - MT
10298,295,70.0,0.155389830508475,232.81312051018406,Itatim - BA,Planalto - BA
10299,50,26.0,0.1554,19.383532690959854,Ibatiba - ES,Irupi - ES
10300,250,13.0,0.1554,137.11293405623644,Canoas - RS,Guaporé - RS
10301,630,14.0,0.155412698412698,516.3596747912358,Combinado - TO,Goiânia - GO
10302,120,15.0,0.155416666666667,37.29462825142597,Novo Cruzeiro - MG,Poté - MG
10303,635,10.0,0.155433070866142,366.46972388327987,Taquara - RS,Vista Alegre - RS
10304,2100,4.0,0.155433333333333,1622.0074755173514,Campos Sales - CE,Uberaba - MG
10305,300,42.0,0.155433333333333,234.22940100770424,Goiânia - GO,Quirinópolis - GO
10306,250,28.0,0.15544,149.68876681816715,Bonfinópolis - GO,Ipameri - GO
10307,215,7.0,0.155441860465116,139.0456305148934,Tubarão - SC,Três Cachoeiras - RS
10308,2030,14.0,0.155443349753695,1418.476235904258,Maravilha - SC,Uruaçu - GO
